# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 143036 143036 55541 143036
-0.955542262352 -41438590.0018 0.39534671303 131229 143265 66451 186305
-1.9819161646 -8049056.79253 0.92146152371 122740 143466 74819 198949
-2.96288469098 -1635630.4082 0.77888309761 114744 143191 73635 206121
-3.98827473023 -305817.689509 0.122700865518 108478 143087 76648 205505
-4.97634473592 -98456.842321 0.600078749015 103974 143049 78522 207888
-5.95340856605 -34704.7449649 0.305277976923 100451 143449 77443 209840
-6.95062979942 -13899.7747239 0.749898676738 96325 143384 79404 209187
-7.923366951 -7788.68558692 0.787210637655 93521 143623 86239 210373
-8.82862265821 -6021.64436183 0.684517432974 91091 143541 78388 216964
-9.84436761423 -5408.7233556 0.406095766851 85920 143286 77254 209786
-10.8434892207 -5252.79482553 0.712440843575 79188 143417 69642 209522
-11.9310439903 -4857.69287975 0.331602442508 75902 143128 61391 201945
-13.0937236638 -4342.63210673 0.972186479361 72726 142877 74246 194288
-14.0609200504 -3811.43036123 0.94270936606 69780 142931 72252 204485
-15.0957573317 -3175.36004061 0.477651476161 67099 143043 66149 204128
-16.2046181353 -2643.06348813 0.821028656396 63790 143162 75522 199421
-17.1795328728 -2336.87202682 0.382686983122 61093 143137 72646 207077
-18.2206025001 -2128.83390528 0.7319988549 58726 143472 75243 204873
-19.2220467882 -2003.69076588 0.215105017544 56360 143551 79916 206942
-20.1798091442 -1928.15159053 0.0990255572777 55027 143829 67539 212168
-21.3044925851 -1870.84707417 0.308016951698 52895 143395 74319 201457
-22.3020800625 -1837.28817873 0.0466752106051 51198 143488 82472 206480
-23.2303671463 -1816.79297478 0.093148540368 49882 143351 73310 213191
-24.2888803716 -1801.44707277 0.848149601988 48092 143457 73324 205719
-25.3162320659 -1792.07177824 0.0794563000041 46900 143602 73664 206498
-26.3428665492 -1786.5047974 0.601420266536 45429 144131 65012 205804
-27.4735370817 -1782.69947657 0.586808536558 43794 144180 65146 198553
-28.5714447156 -1780.54642124 0.718725718814 42391 144280 74446 198658
-29.5554742239 -1779.36556237 0.144890847303 41279 144272 62055 206541
-30.7285884377 -1778.3616897 0.775386030569 40330 144366 79934 196717
-31.6423479458 -1777.85544655 0.386055056317 39385 144377 85811 211394
-32.5561965177 -1777.50491308 0.387279464635 38558 144724 74445 218014
-33.6209455404 -1777.21429063 0.199647794788 37613 144650 74288 207523
-34.6445863595 -1777.02761658 0.429672588224 36427 144556 87431 207443
-35.5255548903 -1776.91396801 0.738300088846 35878 144492 80379 219249
-36.5285738402 -1776.82280946 0.605234078772 34935 144202 87894 213451
-37.4297001605 -1776.76509746 0.144076983846 33929 143609 51822 219354
-38.8047251654 -1776.70955697 0.292640573599 32602 142620 68261 187040
-39.8115505204 -1776.68471124 0.139120579598 31665 141774 75505 201911
-40.7973798859 -1776.66693895 0.495547163803 31138 141376 65595 209010
-41.9338855122 -1776.65373078 0.607613871921 30051 141427 57205 201625
-43.1542263563 -1776.64521637 0.176062230803 29977 142016 98906 192849
-43.8626037223 -1776.64193452 0.959420109372 29280 141946 100198 234453
-44.7293923947 -1776.63881914 0.518360151591 28832 142410 84168 236311
-45.757855347 -1776.63600052 0.374424968548 28277 142885 73891 220720
-46.8398426405 -1776.63398459 0.45055577414 27454 142553 57263 209997
-48.0946054099 -1776.63255568 0.127247335288 26821 142089 55213 193023
-49.3067340701 -1776.63170024 0.513902918292 25823 141362 56539 190229
-50.4867049045 -1776.63113335 0.497174626334 25246 140950 66021 191123
-51.5404683847 -1776.63080564 0.251363695241 24866 139694 0 0
