# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 1958724 1958724 777907 1958724
-0.924613168565 -2938.80774605 0.980941735662 1806686 1959655 976589 2724932
-1.95044234291 -679.160338678 0.960338008904 1683517 1960010 1160568 2925399
-2.875741436 -307.879857421 0.114689522997 1615164 1960852 1161184 3108916
-3.86072694019 -172.396119056 0.30452650937 1551132 1961536 1156929 3111030
-4.85001996496 -125.985507274 0.13151150415 1482675 1960507 1070930 3106168
-5.9142072403 -109.394074077 0.443005961521 1400311 1961026 1355011 3021347
-6.71796363928 -101.242631287 0.777809790616 1345593 1960969 1596171 3302086
-7.44717951246 -67.9867763841 0.999028114615 1312132 1960108 1284966 3540870
-8.46069815689 -6.94519275681 0.558267828002 1259924 1959124 1235660 3232744
-9.42278804995 41.1315336024 0.329935334392 1213148 1957852 1217965 3181674
-10.3833978968 77.3271480498 0.233209741351 1175201 1957277 1053824 3163977
-11.4817685539 106.417678877 0.489394551286 1137472 1956967 1275555 3000624
-12.3386120938 122.51852517 0.418786633036 1118927 1956037 1087278 3218393
-13.4229519399 138.118562157 0.474502195364 1091935 1954853 1152842 3032192
-14.3903420715 147.998600026 0.304939410074 1069593 1955981 1087960 3096868
-15.4359523441 155.400095633 0.749876468121 1042059 1956183 987410 3032515
-16.5566756822 160.662283861 0.485006925149 1016147 1955721 972530 2933082
-17.6594165385 163.973784965 0.276665568419 989577 1954675 1032507 2917035
-18.6975726907 165.985892889 0.742655416548 967229 1954402 1144973 2975958
-19.6532185327 167.214794902 0.719617931823 950746 1954536 1407632 3087691
-20.440692127 167.923945604 0.520278002624 935247 1955059 1514748 3348376
-21.2356676159 168.441247087 0.293796273859 921823 1955726 1328269 3455718
-22.1922103445 168.87729478 0.10369721698 907179 1957989 976914 3273753
-23.3992792818 169.238421895 0.498573863035 885401 1959369 1182032 2926723
-24.306880796 169.414984209 0.74267916226 874343 1960639 1129557 3130827
-25.3261558725 169.552319429 0.652530274885 860489 1960866 1233917 3079811
-26.2416619976 169.635332311 0.0548323478909 848228 1960783 1212318 3183511
-27.2074465041 169.696306535 0.334190013761 836553 1960711 1099756 3167517
-28.2647175555 169.742376181 0.949845848617 823257 1959871 1376079 3053437
-29.0636319294 169.767123092 0.0852059290739 813636 1959485 1429067 3325548
-29.9096011219 169.786671906 0.744382952842 803194 1957131 1595363 3374451
-30.6607944869 169.799734389 0.344581630417 794237 1956034 1720912 3537468
-31.3835136742 169.809297545 0.945120064072 784751 1952881 1848458 3659680
-32.0688674593 169.816315446 0.649697854262 777798 1951126 1364155 3785544
-33.089349003 169.82398292 0.328962129926 765030 1950588 1412787 3304708
-33.9404556314 169.828573733 0.464257637103 757927 1949032 1087010 3349336
-35.0645388747 169.832920797 0.578595563197 745415 1947438 1222521 3024688
-35.9713613977 169.835420994 0.0944465558828 736449 1947733 1063606 3157768
-37.0586480334 169.837577155 0.207832079875 727174 1948956 1089253 3007991
-38.0742628519 169.838994236 0.857724418902 718821 1950561 1511472 3033836
-38.7737087698 169.839721371 0.607140298078 712383 1951857 1324085 3456976
-39.7337396684 169.840476119 0.00455271158193 705883 1953216 1342358 3270964
-40.6253888771 169.840986911 0.933485299981 697502 1955425 1627455 3291397
-41.3321225435 169.841298215 0.985966924289 691353 1954892 1231360 3575956
-42.3976369283 169.841657413 0.256995126824 684780 1957149 1258880 3182125
-43.3256536526 169.841882937 0.438246636061 676440 1957838 1466391 3210390
-44.1111416601 169.842024404 0.332358307632 670910 1958585 1419547 3418590
-44.9910780013 169.84214493 0.110731730322 663590 1958849 1633044 3372017
-45.7183790914 169.842221197 0.288838708106 657352 1957787 1714474 3584525
-46.4579195535 169.842281593 0.0360863943109 653203 1959060 0 0
