#  DeltaF, Fb, t0, u0, tE, rho
# 
9.605550000000000477e-01 2.063730000000000009e-01 7.886159999999999854e+03 8.004269999999999996e-01 1.004129999999999967e+01 2.575829999999999873e-03
9.831119999999999859e-01 2.122239999999999960e-01 7.885689999999999600e+03 6.635839999999999517e-01 1.009939999999999927e+01 1.620100000000000023e-04
8.630459999999999798e-01 2.139459999999999973e-01 7.885899999999999636e+03 1.280550000000000077e+00 7.829310000000000436e+00 2.328890000000000127e-02
9.502810000000000423e-01 2.079670000000000130e-01 7.886020000000000437e+03 1.451540000000000052e+00 6.689239999999999853e+00 5.300290000000000036e-03
8.505500000000000282e-01 2.134610000000000118e-01 7.885890000000000327e+03 1.387860000000000094e+00 7.356110000000000149e+00 2.125049999999999856e-02
9.805789999999999784e-01 2.074650000000000105e-01 7.885619999999999891e+03 8.389839999999999520e-01 9.625360000000000582e+00 2.655489999999999934e-03
8.619310000000000027e-01 2.155590000000000006e-01 7.886430000000000291e+03 1.496320000000000094e+00 7.141070000000000029e+00 5.701920000000000079e-03
9.252890000000000281e-01 2.135710000000000108e-01 7.886119999999999891e+03 1.244369999999999976e+00 7.891119999999999912e+00 2.185569999999999874e-02
8.649459999999999926e-01 2.155249999999999944e-01 7.886329999999999927e+03 1.021600000000000064e+00 9.478460000000000107e+00 2.170570000000000138e-02
9.364540000000000086e-01 2.123460000000000070e-01 7.886060000000000400e+03 1.381529999999999925e+00 7.018839999999999968e+00 9.333019999999999164e-03
8.811959999999999793e-01 2.166410000000000002e-01 7.886989999999999782e+03 1.346929999999999961e+00 7.501739999999999853e+00 1.583489999999999898e-02
9.682790000000000008e-01 2.095920000000000005e-01 7.886579999999999927e+03 5.575769999999999893e-01 1.274319999999999986e+01 9.145400000000000361e-04
9.009620000000000406e-01 2.131720000000000004e-01 7.885329999999999927e+03 1.374640000000000084e+00 6.596669999999999590e+00 6.800149999999999598e-03
9.410079999999999556e-01 2.217490000000000017e-01 7.886050000000000182e+03 1.131189999999999918e+00 7.888169999999999682e+00 1.946909999999999960e-02
9.547109999999999763e-01 2.177920000000000134e-01 7.886479999999999563e+03 1.249300000000000077e+00 7.507439999999999891e+00 6.122559999999999981e-03
9.224909999999999499e-01 2.140180000000000138e-01 7.885979999999999563e+03 1.114290000000000003e+00 8.376789999999999736e+00 4.807179999999999873e-04
9.318290000000000184e-01 2.040450000000000041e-01 7.886020000000000437e+03 8.533830000000000027e-01 9.679669999999999774e+00 2.672300000000000023e-02
9.534200000000000452e-01 2.159470000000000001e-01 7.885899999999999636e+03 9.565759999999999819e-01 8.840009999999999479e+00 6.010670000000000075e-03
