# DeltaF, Fb, t0, u0, tE, rho
0.4005 0.157558 7848.91 0.997109 34.4221 0.0102863
0.00555693 0.186878 7838.57 0.114984 16.5538 0.0155821
0.224762 0.262377 7887.63 1.18159 51.19 0.0117893
0.0631355 0.170793 7431.31 1.35077 23.6931 0.00364491
0.139823 0.320353 7122.66 0.735086 256.004 0.00789245
0.440715 0.497392 7223.75 0.0291434 57.2383 0.00546832
0.0539105 0.461706 7478.52 0.64119 217.203 0.00927801
0.203864 0.149232 7099.53 1.30973 315.995 0.00307997
0.0602875 0.222926 7894.68 0.499946 222.141 0.0125351
0.220545 0.216619 7167.6 0.182478 39.4951 0.0289742
0.463716 0.11319 7782.18 1.11345 174.145 0.0103226
0.18068 0.244992 7086.81 0.774735 15.3535 0.0206046
0.0974766 0.191654 7205 1.17088 101.455 0.0260049
0.600736 0.701065 7642.03 1.4422 183.163 0.0138024
0.254142 0.207876 7896.13 0.278843 64.5922 0.0125506
0.227511 0.224798 7889.45 0.642629 25.6043 0.00659604
0.0639962 0.20044 7789.79 0.552751 326.572 0.00759066
0.0460999 0.101304 7498.2 1.08781 147.061 0.0397563
0.19198 0.188883 7896.39 1.4753 32.8663 0.00334185
0.0746328 0.223417 8014.95 1.07012 203.21 0.00123661
0.592601 0.263792 7207.42 0.328562 32.3843 0.00359384
0.247418 0.172359 7912.93 0.0155108 22.2334 0.00562764
0.777542 0.232466 7375.94 0.42736 30.9945 0.00231925
0.797871 0.235987 7883.47 1.11737 5.9056 0.00213459
0.720675 0.173305 7887.52 0.185971 30.975 0.0409324
0.187057 0.204303 7896.53 0.0799087 206.728 0.00527813
0.74034 0.252952 7886.04 1.00333 8.81927 0.0140883
0.504669 0.204965 7890.83 1.35257 13.1763 0.00197898
0.326031 0.214467 7876.58 1.04705 1.85728 0.0157128
0.533159 0.279359 7194.02 0.197685 7.84758 0.00439336
0.606298 0.230461 7888.73 0.700675 15.4482 0.0157096
0.150083 0.235642 7884.71 0.958539 26.1259 0.0088232
0.441323 0.348344 7848.08 0.807199 286.632 0.0275066
0.791931 0.240637 7888.17 1.25976 10.0902 0.00694372
0.912803 0.20799 7887.85 0.821623 12.6625 0.0076022
0.132745 0.244844 7570 0.349814 5.00622 0.0165935
0.921179 0.226276 7886.57 1.16332 8.15806 0.000513921
0.824464 0.211234 7890.56 0.866964 4.16146 0.00922491
0.818127 0.201393 7882.29 0.00340452 148.291 0.03295
0.734672 0.203199 7888.23 1.24196 9.57423 0.00195786
0.99794 0.219857 7885.03 1.27078 6.88609 0.01391
0.738791 0.205978 7889.73 0.463211 17.1408 0.0283066
0.821431 0.208411 7886.94 0.827705 12.0019 0.0122472
0.888646 0.21898 7885.65 0.92058 9.5603 0.00516797
0.762794 0.203044 7887.42 1.37193 10.9429 0.00769367
0.83392 0.221285 7886.94 1.11306 8.92196 0.0303915
0.571724 0.226314 7886.89 1.20713 7.91981 0.000349536
0.858513 0.209689 7887.58 0.0610725 72.0562 0.000243186
0.84352 0.163675 7888.79 0.0222363 307.86 0.00621651
0.260097 0.273962 7248.84 1.12291 1.45887 0.0269516
0.513788 0.204189 7889.4 0.593202 20.6015 9.16548e-05
0.905466 0.184539 7885.97 0.429824 20.0558 0.00769398
0.363701 0.237118 7878.62 0.0911648 71.4849 0.00761904
0.951126 0.203066 7888.02 0.751416 12.7756 0.00202305
0.181288 0.177542 7889.35 0.231129 103.493 0.00562924
0.866074 0.213242 7886.77 0.520008 15.2226 0.0045261
0.934052 0.954861 7761.71 0.989638 267.595 0.000297052
0.877823 0.208836 7886.61 0.705965 12.6179 0.00433078
0.724201 0.189624 7884.65 1.16875 8.9022 0.00716293
0.966164 0.210377 7886.57 0.727644 10.285 0.000487911
0.740492 0.218722 7886.04 0.354438 18.1525 0.0044065
0.966463 0.213867 7885.83 0.92911 8.59103 0.021194
0.934421 0.2138 7886.06 0.930687 8.94009 0.0182642
0.958319 0.21672 7885.75 1.05632 7.7061 0.0262855
0.455355 0.206307 7890.21 0.690373 18.7317 0.00269914
0.919081 0.210384 7886.25 1.20701 7.91318 0.00277814
0.976167 0.21906 7885.94 0.972281 8.35922 0.00647293
0.960602 0.211339 7885.7 1.37538 6.53777 0.00556584
0.94765 0.21409 7885.83 1.31687 6.96515 0.00405873
0.893041 0.222649 7886.18 0.384258 17.5943 0.0421886
0.812683 0.212813 7886.15 0.103654 56.1392 0.00933604
0.718367 0.216656 7886.3 0.776995 12.7492 0.00473358
0.637297 0.219218 7892.03 0.528507 15.5568 0.00138481
0.909396 0.214059 7886.6 1.07052 8.60744 0.0149345
0.715383 0.226186 7885.42 1.35896 7.878 0.0332125
0.962784 0.219486 7886.09 1.42293 6.61057 0.0104606
0.712257 0.141771 7881 0.316908 12.4383 0.0193713
0.84574 0.220667 7885.79 0.060119 57.1167 0.00237042
0.756853 0.204121 7885.68 0.94042 10.7229 0.00324932
0.871787 0.185945 7887.16 1.47578 7.55272 0.00154382
0.99998 0.217282 7886.04 1.29777 6.77898 0.000187545
0.89928 0.172932 7887.15 0.226967 25.7406 0.0343417
0.970418 0.215267 7886.21 1.45691 6.51269 0.0238594
0.89396 0.213061 7886.28 1.26819 7.58508 0.0115767
0.996502 0.217555 7886.14 1.43263 6.59148 0.00679072
0.708541 0.208684 7886.83 0.806435 9.4609 0.0166679
0.996543 0.210642 7886.05 1.45142 6.33185 0.0021088
0.972422 0.21753 7886.21 1.12527 7.74299 0.0156332
0.986945 0.212429 7886.13 1.41911 6.53428 0.000428635
0.988832 0.217127 7885.89 1.48494 6.2852 0.021283
0.988799 0.212852 7886.2 0.832105 9.17496 0.00621666
0.941284 0.214931 7886.37 1.24382 7.46067 0.00486284
0.90306 0.212752 7886.36 0.925544 9.71429 0.0170291
0.993369 0.215153 7886.11 1.48302 6.32405 0.0155896
0.916059 0.22284 7885.91 1.07013 7.9615 0.00460389
0.930708 0.211526 7886.36 1.49855 6.764 0.0112725
0.946617 0.218726 7886.37 1.40734 6.79515 0.0484642
0.936994 0.216587 7886.1 1.47755 6.49216 0.00900921
0.958478 0.21136 7886.02 1.08255 7.9293 0.0049319
0.958783 0.215779 7886.16 1.46034 6.51287 0.00233263
0.993311 0.215512 7886.11 1.46056 6.32862 0.00877254
0.98776 0.216133 7885.94 1.38337 6.50923 0.00121157
0.975593 0.214901 7886.13 1.4994 6.37685 0.0116286
0.990562 0.215149 7886.05 1.33236 6.84253 0.000849006
0.983088 0.212785 7886.16 1.43583 6.49362 0.00400584
0.977214 0.225656 7885.84 1.4706 6.15315 0.00735161
0.892683 0.21063 7886.32 1.45992 7.04066 0.00871847
0.979003 0.215637 7886 1.44897 6.42075 0.00564948
0.934957 0.218606 7885.97 1.43921 6.60806 0.00650052
0.997202 0.20939 7885.8 1.23654 7.01018 0.0113544
0.985036 0.215044 7886.04 1.43608 6.46211 0.000131332
0.98314 0.214175 7886.07 1.47316 6.38728 0.00207338
0.993835 0.215078 7886 1.43454 6.43292 0.00698139
0.982672 0.216221 7885.99 1.49968 6.22634 0.00897761
0.98767 0.215162 7886 1.48356 6.28469 0.0207046
0.983964 0.2156 7886.07 1.49418 6.31638 0.0181471
0.542574 0.197621 7891.9 1.45038 12.8619 0.0231584
0.988549 0.215914 7885.98 1.49698 6.18946 0.0383708
0.993333 0.215975 7885.98 1.49417 6.22482 0.0026145
0.987503 0.216134 7886.01 1.49748 6.21929 0.0189297
0.989812 0.215809 7886 1.49194 6.22464 0.000145296
0.990633 0.215753 7886.03 1.46457 6.34025 0.0179059
0.802214 0.214501 7886.35 0.648194 11.2823 0.00837874
0.978354 0.215125 7886.05 1.45647 6.42076 0.0240735
0.991703 0.215431 7885.99 1.4976 6.21044 0.000301321
0.989142 0.215477 7886.02 1.49538 6.24658 0.019857
0.988594 0.215458 7886.02 1.4907 6.25281 0.0222041
0.9847 0.215369 7886.01 1.49285 6.27687 0.00856406
0.993251 0.215621 7886 1.44346 6.3575 0.0101409
0.990153 0.215767 7886.02 1.49941 6.22629 0.0290558
0.989577 0.215758 7886.03 1.4968 6.23344 0.0042146
0.989878 0.215426 7886.01 1.49948 6.21842 0.000780297
0.987141 0.215587 7886 1.4965 6.24052 0.0038609
0.460802 0.239526 7891.09 0.0352873 322.804 0.00177265
0.914077 0.205981 7882.98 0.11062 27.7946 0.00510233
0.989679 0.215643 7886.01 1.49962 6.23039 0.0165404
0.984681 0.215606 7886.02 1.49973 6.24733 0.00471407
0.98515 0.215422 7886.03 1.49878 6.25565 0.0140572
0.988883 0.215828 7886.02 1.49618 6.23515 0.0125223
0.986817 0.216077 7885.97 1.47446 6.27341 0.00489813
0.985133 0.215602 7886.01 1.49931 6.25101 0.0184485
0.922185 0.210572 7886.18 0.695763 10.948 0.0188215
0.985341 0.215445 7886.02 1.4995 6.24522 0.00689945
