# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 1994224 1994224 727053 1994224
-1.00886962464 -1069.71908271 0.354050108903 1841400 1994359 1060566 2710419
-1.94786040045 -685.258365095 0.666304324676 1720538 1993992 1142063 3041531
-2.92759369646 -547.560100786 0.499806220392 1641390 1993917 1126424 3124007
-3.94745904281 -490.028086555 0.789683660815 1574156 1993985 1097611 3108930
-4.98817884581 -468.493326533 0.101704545838 1501555 1993363 1144674 3079931
-5.97806942598 -461.382521815 0.580922984329 1424326 1993293 1133258 3126065
-6.99259971447 -458.434122827 0.2486968253 1354702 1993573 1157442 3115781
-7.9829644734 -454.388807399 0.567520226293 1295991 1991640 1207017 3137817
-8.93877531667 -445.381552673 0.560674426436 1262586 1990842 1133842 3186729
-9.97182496205 -434.106597587 0.259184174164 1206304 1991364 1185253 3114030
-10.93812289 -426.748946782 0.262744785797 1174207 1989991 1334135 3164041
-11.8029525521 -421.690876768 0.63984498782 1149450 1988988 1206157 3309436
-12.812202266 -417.266138589 0.333028886248 1117773 1989113 1072159 3182960
-13.8994335198 -414.164717442 0.908787497547 1083861 1988998 1144617 3050612
-14.8799060963 -412.398058655 0.338610968296 1055355 1987975 1201067 3120112
-15.8350095262 -411.220820694 0.973546393638 1033721 1987711 1215342 3176025
-16.7959953139 -410.369089669 0.738609214858 1010812 1988070 1182413 3190838
-17.7887927467 -409.756862564 0.718633707273 991722 1987620 1037639 3158045
-18.9006125992 -409.299990136 0.40784863174 971066 1987479 1189016 3014386
-19.8315821664 -409.04180271 0.438114530553 954622 1988309 1329879 3165083
-20.6999053598 -408.869604741 0.14360924968 939455 1988432 1189814 3304171
-21.7210890586 -408.726786711 0.979867874935 924550 1989245 1267195 3167605
-22.6380541778 -408.635288484 0.0991432945388 914170 1991289 1108044 3245631
-23.7120194237 -408.556890052 0.223795570216 900882 1991649 1038520 3088511
-24.8009591053 -408.498279355 0.447321419008 887427 1992278 1106728 3019399
-25.8045710985 -408.459824775 0.739716292678 873291 1993241 1210802 3087731
-26.7413518674 -408.434125248 0.279529345709 860961 1992816 1149122 3191821
-27.7627311828 -408.414383601 0.10599399423 846494 1992987 958705 3130810
-28.944183263 -408.398640197 0.504792589621 833137 1993533 1306532 2943042
-29.758073673 -408.390940179 0.995035600255 822185 1993587 1149260 3286202
-30.8081932107 -408.383662317 0.438233692529 810392 1991510 1086962 3129203
-31.8649941133 -408.378481779 0.518656587152 796758 1991104 1087600 3067339
-32.9014482674 -408.374908029 0.522079730522 784520 1991451 1103258 3067052
-33.9236658281 -408.372426795 0.0947756283006 773802 1991407 1173887 3082892
-34.8895573814 -408.370751025 0.477976902351 761341 1991663 1157220 3152994
-35.8918661003 -408.369491147 0.614324493648 752851 1992160 1221249 3137050
-36.835824087 -408.368634811 0.297300636969 742358 1993415 1358388 3202911
-37.6948825167 -408.36805384 0.969278322533 734819 1994682 1122962 3340459
-38.7841367451 -408.36752094 0.00904593618001 723958 1994821 866445 3106778
-40.0578696167 -408.367101333 0.490666963776 712358 1994694 968890 2853424
-41.1370795519 -408.366860807 0.173168464952 702867 1995412 1093418 2955723
-42.1315730215 -408.366704989 0.438344472123 695233 1995722 1005930 3078505
-43.2488259478 -408.366583424 0.472203115949 686005 1997547 840507 2998855
-44.5175503288 -408.366490402 0.635614478891 676706 1997763 961352 2832034
-45.5970359861 -408.366436966 0.19692801976 668028 1996755 944675 2951722
-46.7347559597 -408.366397836 0.761024728334 660102 1997968 941312 2936258
-47.8708018546 -408.366370694 0.198288320747 652056 1998791 992553 2933803
-48.9536448693 -408.366353003 0.330640724973 644763 2000400 969647 2986614
-50.0772147759 -408.36634038 0.971863623848 637291 2000798 0 0
