#  DeltaF, Fb, t0, u0, tE, rho
# 
3.611460000000000226e-01 2.191440000000000055e-01 7.894779999999999745e+03 7.188400000000000345e-01 1.805799999999999983e+01 2.037680000000000047e-02
4.291229999999999767e-01 2.155130000000000101e-01 7.894529999999999745e+03 8.397639999999999549e-01 1.488940000000000019e+01 4.696480000000000099e-02
4.767569999999999864e-01 2.167000000000000037e-01 7.893359999999999673e+03 1.442020000000000080e+00 9.859700000000000131e+00 2.470479999999999898e-02
4.455879999999999841e-01 2.141339999999999910e-01 7.893100000000000364e+03 1.086400000000000032e+00 1.429460000000000086e+01 2.544729999999999822e-03
7.783849999999999936e-01 2.167310000000000070e-01 7.885380000000000109e+03 1.284990000000000077e+00 8.275859999999999772e+00 1.218120000000000053e-04
5.230820000000000469e-01 2.209879999999999900e-01 7.891750000000000000e+03 7.075280000000000458e-01 1.414889999999999937e+01 5.473049999999999920e-04
8.576970000000000427e-01 2.270250000000000046e-01 7.885810000000000400e+03 9.592169999999999863e-01 9.534919999999999618e+00 1.764860000000000040e-03
9.599239999999999995e-01 2.319090000000000040e-01 7.885039999999999964e+03 3.816010000000000235e-01 1.558099999999999952e+01 1.786530000000000062e-02
9.821889999999999787e-01 2.215989999999999904e-01 7.886369999999999891e+03 1.462749999999999995e+00 7.223709999999999631e+00 1.676010000000000000e-02
9.172449999999999770e-01 2.185179999999999900e-01 7.885130000000000109e+03 9.361580000000000457e-01 8.151809999999999334e+00 5.819379999999999865e-03
6.327390000000000514e-01 2.196049999999999947e-01 7.889750000000000000e+03 7.092969999999999553e-01 1.478919999999999924e+01 1.534819999999999934e-02
4.759610000000000229e-01 2.114090000000000136e-01 7.891939999999999600e+03 8.552170000000000050e-01 1.557240000000000002e+01 5.598109999999999892e-03
4.082109999999999905e-01 2.183170000000000111e-01 7.892979999999999563e+03 5.447819999999999885e-01 2.149170000000000158e+01 2.709340000000000186e-04
