# DeltaF, Fb, t0, u0, tE, rho
0.0975427 0.554315 7179.14 0.804139 5.23753 0.00179211
0.762596 0.364121 7261 1.07965 29.3389 0.0172119
0.050131 0.866186 7176.74 1.02959 339.18 0.000801824
0.194984 0.191749 7426.64 0.238385 282.599 0.00297803
0.174259 0.125657 7562.21 0.322699 229.912 0.026597
0.0421173 0.144944 7214.1 0.149429 217.933 0.0146597
0.388315 0.194223 7724.38 0.326054 72.4178 0.0227032
0.230686 0.253951 7099.02 0.594843 245.534 0.00803804
0.0796319 0.213108 7902.89 0.877292 7.69698 0.0036042
0.723265 0.195961 7136.53 0.0953276 71.4124 0.00501423
0.0265572 0.265751 7964.43 1.06016 107.995 0.0151199
0.00433867 0.215842 7442.35 0.25933 78.2466 0.00241843
0.143224 0.266035 7339.64 0.895883 7.36408 0.000630109
0.373161 0.115956 7392.91 1.12202 45.6748 0.00161779
0.355693 0.188484 7323 1.17226 123.617 0.0160591
0.422141 0.23641 7895.49 0.338272 36.7799 0.00836318
0.105388 0.187468 7070.61 1.21969 149.713 0.00250522
0.060796 0.19087 7389.42 0.0688536 47.8294 0.00726679
0.0742311 0.230417 7199.39 0.353569 86.9903 0.00383792
0.052623 0.211349 7275.67 0.318484 320.179 0.0067825
0.0801455 0.193777 7096.5 1.36835 301.522 0.00418932
0.0137501 0.244084 7257.15 0.0326631 74.329 0.00830353
0.0610401 0.221023 7164.13 0.297493 49.2021 0.00359623
0.166536 0.229935 7913.46 1.18651 16.5633 0.0275511
0.149408 0.209264 7144.07 0.757804 187.879 0.000632043
0.257705 0.238344 7903.53 0.568554 16.7684 0.00816646
0.0442513 0.201787 7173.57 1.24839 264.28 0.0153965
0.465257 0.223107 7890.68 0.562701 20.9434 0.0180627
0.595877 0.222406 7306.28 0.00195189 25.461 0.00225
0.16288 0.246962 7935.12 0.70314 9.41178 0.00714776
0.208449 0.222157 7225.39 0.665549 62.9051 0.0515585
0.609801 0.233874 7892.05 0.166753 28.9008 0.00103788
0.185431 0.155073 7676.03 1.36415 93.5321 0.000191323
