# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 1803020 1803020 682277 1803020
-0.972262256383 -203.677662256 0.272831703246 1676341 1804281 897407 2474249
-1.98626472438 -37.2827021627 0.927418390402 1587209 1802519 1089021 2688857
-2.89116806751 36.1531193987 0.411032926668 1526117 1802712 1146669 2879559
-3.81277169641 80.8797807795 0.160246009349 1468857 1802259 1058276 2936876
-4.83325412105 110.318730049 0.52783479018 1407901 1802339 1150158 2849270
-5.74139123748 127.560001852 0.235127509658 1363628 1801858 1032895 2938964
-6.78658528837 140.770646401 0.285965120666 1307885 1800516 1068741 2822275
-7.75796336213 148.925294968 0.129993817514 1261917 1799835 927144 2856965
-8.88190804287 155.484652327 0.458551765391 1206219 1800424 1079948 2717693
-9.80563265189 159.586896068 0.753158036777 1162942 1800601 1203556 2869034
-10.6756698811 163.309120232 0.571926440575 1131985 1801442 1295651 2992421
-11.5143127923 167.103846247 0.201355183431 1107342 1802056 1232544 3084164
-12.4323199057 172.193005996 0.669068906165 1087000 1803189 1132509 3024391
-13.4147759467 178.70963742 0.153168486565 1064460 1804472 1057135 2925652
-14.4325371832 184.860675286 0.215513338402 1042068 1806419 1174064 2852844
-15.3215461128 189.718595205 0.15467038671 1025064 1807174 1095915 2968526
-16.3180590952 194.542490662 0.505604742448 1009309 1808430 996607 2893622
-17.3832306716 198.896002418 0.167874416391 993217 1809364 964304 2795511
-18.4468509537 202.393053315 0.0675104814526 972145 1809490 980084 2763125
-19.4829099477 205.013967955 0.346699849475 952009 1810012 1006495 2779323
-20.4984649442 206.974500254 0.641736010902 931591 1809376 1001314 2804250
-21.5279504312 208.472362609 0.534596885256 916241 1809902 1024992 2799974
-22.532820617 209.592689263 0.0515917014346 900120 1810472 977201 2824597
-23.5935480623 210.487693784 0.78755016614 884498 1810633 935918 2777625
-24.6803389675 211.180465764 0.182302071089 867305 1810496 899369 2736893
-25.7918601374 211.71114869 0.28421071038 852225 1810700 1093939 2700625
-26.6966215611 212.046086667 0.207770768848 841860 1811024 1247460 2891298
-27.5388129908 212.300626334 0.162773580304 832019 1810882 1499749 3044253
-28.249377885 212.481259478 0.110726617764 823392 1811800 1349649 3296272
-29.1432905922 212.669825733 0.269880440902 814807 1812588 1379693 3149650
-29.9703143996 212.812317619 0.67820490224 806388 1812061 975835 3178608
-31.1492680884 212.975537523 0.986371677464 792331 1809482 1061026 2776492
-32.1116404814 213.079675104 0.524917593022 782537 1808439 971511 2856781
-33.1893438297 213.1728849 0.858872560189 772219 1808654 1012423 2769556
-34.1956125784 213.241365648 0.133837441022 763034 1808918 1126205 2810279
-35.1109557287 213.290592051 0.206943950854 754442 1811443 958118 2924949
-36.2257017347 213.338045468 0.891429981674 743489 1811805 1023322 2759310
-37.2177192966 213.370493724 0.437827118723 733322 1811553 1051061 2823128
-38.2058962981 213.396034832 0.363656856184 722238 1811159 1093337 2851113
-39.1648175333 213.415679557 0.0111609078546 710779 1811272 1208094 2891041
-40.0386855885 213.430022823 0.535607060376 699500 1810001 1224860 3004293
-40.9369192358 213.44213137 0.177125732529 684812 1808863 1139856 3021383
-41.9119896271 213.452797848 0.734570032217 665423 1809713 884614 2937778
-43.1098886803 213.463756385 0.715072214244 632780 1811054 854415 2685746
-44.2533672931 213.474180077 0.224241086466 589375 1810077 702316 2653962
-45.5782091326 213.491152041 0.0902334566612 569684 1809217 808299 2504379
-46.7073313304 213.504656711 0.0392137966257 561219 1809110 1028429 2612642
-47.6404436889 213.51393652 0.23909669733 554534 1808320 1143707 2830406
-48.547579408 213.521155657 0.239909296895 545503 1807588 1113811 2944929
-49.5201669569 213.527359422 0.732413798158 539711 1808234 1183875 2915722
-50.422500113 213.531926748 0.889204779061 532516 1809078 1400285 2986615
-51.1822238761 213.535113919 0.885662275129 525550 1809862 1380754 3203766
-52.0253531344 213.538094317 0.858458345303 518615 1810773 1177280 3185160
-53.0206951007 213.540965473 0.570353119325 511637 1811946 0 0
