# DeltaF, Fb, t0, u0, tE, rho, Pb, mu_b, sig_b
0.721141 0.611552 7092.76 0.831488 142.372 0.00682906 0.651206 0.0186638 0.510438
0.036903 0.315944 7276.3 0.512747 282.752 0.00547537 0.651388 0.341093 0.147802
0.810581 0.0970785 7319.57 0.189633 31.878 0.0177503 0.891379 0.0908461 0.226052
0.444349 0.097524 7576.3 0.476795 318.345 0.00568154 0.795512 0.406375 0.924952
0.439199 0.205901 7788.05 1.10792 27.4919 0.0211345 0.355952 0.527662 0.579179
0.337445 0.16478 7989.09 0.334537 203.816 0.0161294 0.661252 0.671408 0.988238
0.406985 0.232114 7927.08 0.0154349 65.816 0.000665081 0.903702 0.240482 0.208302
0.11043 0.37951 7280.57 0.022545 230.506 0.000489981 0.703797 0.0787807 0.193051
0.127218 0.156062 7200.06 0.222406 225.052 0.0209422 0.85699 0.64102 0.472963
0.0454801 0.226401 7127.86 0.40626 348.288 0.00572545 0.950977 0.764467 0.915851
0.123094 0.0656037 7154.2 1.12559 286.863 0.024298 0.920197 0.998241 0.429268
0.569338 0.784677 7388.51 0.118344 115.593 0.00264285 0.0736991 0.231477 0.126868
0.617463 0.159631 7292.38 0.771743 87.9984 0.0131713 0.64015 0.237042 0.25747
0.580697 0.688916 7395.82 0.353829 96.1984 0.0101449 0.653666 0.267453 0.00172982
0.655594 0.430821 7562.7 1.38381 78.5493 8.42994e-05 0.131236 0.321253 0.206599
0.241478 0.21461 7971.12 0.254791 7.01451 0.0134009 0.767349 0.446239 0.237877
0.333703 0.700213 7507.16 1.37931 267.119 0.00775039 0.194745 0.38851 0.294703
0.0734316 0.701377 7463.55 1.09995 130.543 0.00814524 0.00121859 0.521684 1.16846
0.525827 0.197933 7152.5 1.23905 198.446 0.00492479 0.249545 0.122176 0.181501
0.0583883 0.192689 7268.86 0.313929 254.121 0.00462568 0.894151 0.58446 0.18442
0.0713527 0.190843 7181.32 0.929718 207.854 0.00440215 0.728321 0.326578 0.212903
0.0190683 0.222128 7579.19 1.40535 119.617 0.0015488 0.719449 0.344792 0.292403
0.159652 0.188171 7985.62 0.415498 64.3077 0.00254652 0.899581 0.511866 0.209695
0.0941126 0.210575 7075.96 0.204683 154.23 0.0245395 0.897854 0.729112 0.704111
0.0180441 0.214244 7510.1 0.663577 305.871 0.000802527 0.934866 0.275721 0.203257
0.943824 0.593275 7977.51 0.741333 36.997 0.00247916 0.746275 0.145361 0.508532
0.419451 0.665147 7478.32 0.339982 353.688 0.0154906 0.327742 0.253383 0.120266
0.0645738 0.199574 7102.59 0.0763964 352.676 0.000538977 0.729534 0.359168 0.212771
0.102757 0.206191 7087.95 0.0757255 99.8313 0.00848498 0.925839 0.509421 0.414064
0.447293 0.742114 7247.66 1.44738 246.172 0.0420378 0.0198912 0.224747 0.0918565
0.0724078 0.198182 7192.7 1.42511 179.226 0.00360377 0.905422 0.859005 0.316849
0.784595 0.207948 7692.96 0.266675 35.5059 0.0109516 0.839758 0.217587 0.31644
0.100415 0.205967 7097.74 0.293304 317.69 0.00679472 0.857072 0.629704 0.273656
0.0453454 0.211756 7245 1.40037 194.484 0.0116127 0.705163 0.285807 0.268035
0.729807 0.2313 7871.88 0.203381 103.146 0.0171296 0.213383 0.218242 0.107919
0.295009 0.231565 7895.97 1.01761 14.7903 0.0122371 0.936379 0.639316 0.170892
0.100998 0.74803 7621.57 0.18279 350.507 0.025298 0.0297497 0.202643 0.0967563
0.937132 0.155883 7884.22 0.0270171 274.613 0.0136596 0.176549 0.234788 0.0862603
0.648799 0.215254 7885.69 1.01284 18.866 0.00672802 0.795002 0.174702 0.223862
0.577039 0.405063 7881.2 0.0133049 293.708 0.0110767 0.203286 0.208557 0.089282
0.423149 0.523532 7921.35 1.45146 176.214 0.00672297 0.0600258 0.242192 0.118335
0.779419 0.500611 7812.33 0.374215 226.646 0.000880967 0.0404201 0.194778 0.118487
0.0846104 0.209948 7209.49 1.37215 50.9195 0.0268224 0.849662 0.33913 0.280087
0.354199 0.469682 7843.84 0.480379 172.755 0.00518913 0.0357716 0.240253 0.107716
0.0885263 0.20614 7146.52 0.215148 97.418 0.0124631 0.968974 0.410038 0.22981
0.633174 0.223293 7888.88 0.625659 12.5722 0.0099721 0.830099 0.399633 0.469638
0.358335 0.210998 7906.69 0.0483539 29.4473 0.00363511 0.832287 0.415276 0.187446
0.126532 0.181828 7081.26 0.128189 81.7588 0.0133607 0.86913 0.291531 0.389279
0.707279 0.155249 7881.4 0.797764 30.7091 0.00100118 0.165747 0.230018 0.0871925
0.66292 0.190385 7870.05 0.457652 58.2685 0.00990773 0.407362 0.170519 0.122371
0.0919088 0.163196 7242.93 1.3513 298.282 0.0130678 0.803684 0.49613 0.278858
0.974462 0.247949 7829.53 0.857609 70.7237 0.0225419 0.298613 0.234891 0.119922
0.803085 0.272293 7864.4 0.67972 43.4976 0.00718151 0.184717 0.204608 0.104037
0.768723 0.206206 7883.74 0.388327 27.676 0.0030368 0.829887 0.174685 0.15499
0.390931 0.404017 7879.8 0.111198 52.9105 0.0185747 0.0720272 0.228234 0.10024
0.73814 0.188535 7885.48 0.707212 20.1685 0.00279992 0.612579 0.229309 0.138708
0.576027 0.230272 7880.91 0.921187 23.2772 0.00984657 0.661006 0.18144 0.0936619
0.676505 0.21577 7880.58 0.281102 43.0604 0.0105946 0.874401 0.126994 0.165117
0.690986 0.22114 7885.93 0.226227 46.8424 0.00383761 0.444425 0.222047 0.100502
0.649434 0.224638 7875.13 0.253884 63.2968 0.00883618 0.499032 0.147517 0.095079
0.725569 0.314249 7874.9 0.920192 25.3887 0.0188062 0.365634 0.224471 0.105504
0.692513 0.222061 7873.15 0.96976 31.5004 0.00277833 0.383984 0.259678 0.110998
0.715539 0.218331 7883.86 1.02673 14.2387 0.00231059 0.372139 0.197739 0.0975212
0.560591 0.257113 7872.85 1.35128 21.4962 0.0022884 0.46539 0.209458 0.0789143
0.685553 0.223875 7883.34 1.20336 16.3734 0.00661095 0.32888 0.225673 0.0909548
0.727535 0.238134 7886.28 0.137706 58.2685 0.0231442 0.61872 0.167181 0.115971
0.874723 0.211629 7845.24 1.48959 40.1393 0.0051443 0.153604 0.235177 0.0761676
0.578599 0.199508 7891.29 1.26679 13.3305 0.00221627 0.891777 0.313484 0.205691
0.690511 0.261377 7883.64 0.967483 14.6105 0.00412256 0.525538 0.144491 0.0780102
0.680856 0.213187 7884.3 0.578183 23.9151 0.00419805 0.606619 0.208149 0.112594
0.886727 0.236654 7886.33 1.10787 7.67192 0.00300023 0.846312 0.0616046 0.0546155
0.659004 0.219057 7880.26 1.09183 16.6555 0.00879011 0.338664 0.224112 0.0938139
0.707536 0.245785 7883.76 0.720622 18.0353 0.00715143 0.501714 0.186281 0.0803499
0.547569 0.302812 7883.78 0.996997 17.075 0.00257499 0.404192 0.197809 0.0730723
0.671516 0.283934 7883.73 0.613415 19.4356 0.0143822 0.512575 0.180172 0.0789157
0.602942 0.242397 7882.38 0.988937 22.7855 0.00680293 0.436928 0.218759 0.109714
0.492231 0.325561 7881.93 0.314925 51.3924 0.00763921 0.155531 0.20277 0.0961118
0.71413 0.265726 7868.05 0.771859 31.8705 0.0058025 0.451925 0.175692 0.0979946
0.719677 0.243115 7884.1 0.742822 17.4757 0.00137652 0.63319 0.191295 0.114368
0.825652 0.241028 7884.07 0.0824353 73.5872 0.0456775 0.468831 0.209859 0.0979849
0.615268 0.246852 7880.56 0.126272 78.0266 0.000548524 0.620587 0.137318 0.0922604
0.781258 0.250126 7886.29 0.276946 34.0108 0.0112289 0.37294 0.210448 0.0931406
0.583953 0.257993 7883.54 0.715498 21.274 0.0247717 0.664408 0.231082 0.127928
0.0781789 0.874849 7913.75 0.320322 136.159 0.00643268 0.0318043 0.190954 0.247835
0.717041 0.25696 7884.75 0.614269 18.2426 0.0125641 0.582044 0.189273 0.0810606
0.762947 0.203453 7897.83 0.626018 12.9204 0.00729304 0.791893 0.391795 0.319665
0.63924 0.227782 7884.02 1.40129 11.9297 0.0183011 0.780675 0.215776 0.131001
0.676306 0.219754 7884.16 0.51828 26.5135 0.00732366 0.546179 0.212862 0.102986
0.998365 0.631776 7496.06 1.12598 257.045 0.00264145 0.0725077 0.240347 0.118441
0.674372 0.213752 7882.9 1.00786 17.5652 0.0257169 0.536322 0.213558 0.095311
0.745391 0.243929 7884.2 0.29455 29.4838 0.000365226 0.510431 0.210988 0.0970444
0.9977 0.204918 7716.05 1.43889 0.784453 0.00614101 0.719502 0.359084 0.250049
0.738053 0.230455 7884.22 0.826736 16.2707 0.00572743 0.642945 0.206009 0.108499
0.525351 0.262717 7882.91 1.49057 14.1197 0.003811 0.526503 0.193082 0.106422
0.0453408 0.248592 7070.08 1.43373 77.8697 0.0263134 0.887215 0.207058 0.203205
0.702011 0.231439 7884.46 0.214609 44.1678 0.000385442 0.551108 0.202223 0.100601
0.664949 0.274913 7882.74 0.592549 19.0834 0.0415906 0.454085 0.161955 0.0980219
0.639516 0.230341 7881.72 1.02131 19.5009 0.00120781 0.475549 0.190894 0.10539
0.809933 0.237709 7884.96 0.223602 33.8591 0.0171728 0.50105 0.21125 0.111753
0.734932 0.212303 7884.15 0.242728 38.9853 0.00741623 0.471384 0.221805 0.0990791
0.755404 0.23744 7883.82 0.291951 31.9656 0.0133963 0.498306 0.21253 0.0930018
0.734967 0.235636 7884.4 0.487091 22.7017 0.0054943 0.53244 0.220207 0.104682
0.550874 0.302658 7885.13 0.544044 19.7354 0.0272223 0.535997 0.189593 0.0818148
0.641608 0.221001 7883.47 0.851471 17.5392 0.00554581 0.64096 0.218669 0.112476
0.784717 0.247034 7884.42 0.223942 32.6238 0.00740946 0.521122 0.198555 0.089621
0.912954 0.229836 7885.78 0.406566 19.1305 0.00942585 0.250055 0.223672 0.114582
0.665042 0.228602 7882.79 0.733729 21.5052 0.0151746 0.529704 0.216359 0.104883
0.750461 0.222012 7883.45 0.283105 34.2926 0.00579426 0.54684 0.203889 0.096334
0.940959 0.664151 7449.83 0.366468 289.799 0.020508 0.0817821 0.227703 0.102768
0.710781 0.228778 7883.59 0.36949 29.5479 0.0244629 0.4949 0.211935 0.0939705
0.684495 0.225167 7883.14 0.63676 22.1493 0.011324 0.53647 0.215403 0.0971833
0.697936 0.225744 7883.25 0.395178 29.4627 0.00663545 0.503216 0.21355 0.0984696
0.619665 0.229652 7883.92 0.459963 29.0927 0.0229331 0.645806 0.172944 0.094533
0.790359 0.226653 7884.16 0.1086 67.5663 0.0155463 0.525467 0.206623 0.101419
0.772427 0.248374 7884.14 0.300756 28.9931 0.00716412 0.447054 0.205219 0.0898558
0.763117 0.232921 7884.19 0.285718 31.6825 0.0169064 0.472701 0.212552 0.102312
0.676003 0.270204 7879.63 0.251947 47.969 0.00753466 0.274633 0.227121 0.101617
0.669611 0.247345 7882.56 0.609395 20.8666 0.00803041 0.563668 0.167928 0.0967676
0.743482 0.0679457 7878 0.287597 79.8055 0.0111986 0.187158 0.214346 0.121252
0.755434 0.230344 7884.19 0.272996 33.1441 0.000769934 0.516704 0.208788 0.107041
0.610263 0.246552 7884.72 1.08936 15.1554 0.00176659 0.567537 0.192802 0.0890875
0.79578 0.227308 7884.61 0.173752 43.5663 0.0257599 0.519308 0.208694 0.101711
0.119599 0.225067 7092.92 1.44897 13.4905 0.00525646 0.805378 0.21222 0.31785
0.790257 0.224359 7884.2 0.171127 46.461 0.00306753 0.54034 0.217376 0.0941669
0.778205 0.226581 7884.14 0.259062 35.433 0.0203852 0.513894 0.208478 0.102251
0.377073 0.229964 7930.43 1.04175 78.8189 0.00654214 0.878412 0.476162 0.263649
0.707167 0.229771 7884.02 0.476644 24.6051 0.00218293 0.537173 0.202203 0.102554
0.0670977 0.218511 7208.59 0.907779 22.7743 0.0048439 0.921617 0.858515 0.519432
0.955152 0.532057 7425.72 1.29234 248.039 0.0112558 0.0501603 0.237058 0.104268
0.74725 0.233986 7884.31 0.253273 35.6271 0.0133329 0.520654 0.204932 0.0993928
0.732964 0.232513 7884.12 0.34119 29.2941 0.00112052 0.52171 0.209892 0.0991017
0.775735 0.226524 7884.39 0.200508 41.783 0.0116462 0.494004 0.207061 0.102042
0.0572773 0.206704 7228.38 1.02325 124.311 0.0273623 0.885659 0.527138 0.274824
0.723964 0.225884 7883.75 0.258395 37.4533 0.0172951 0.4646 0.215306 0.0993917
0.563225 0.295272 7256.14 0.392372 3.67936 0.0248251 0.366391 0.765622 0.177249
0.763989 0.226591 7884.17 0.26085 34.7567 0.0240584 0.543963 0.21385 0.101614
0.742098 0.231939 7884.22 0.266948 34.0769 0.00324726 0.549439 0.207962 0.0981312
0.742892 0.22674 7884 0.264421 35.2113 0.0266572 0.540064 0.209667 0.103637
