#  DeltaF, Fb, t0, u0, tE, rho, Pb, mu_b, sig_b
# 
8.140180000000000193e-01 2.626160000000000161e-01 7.885449999999999818e+03 1.556859999999999911e-01 3.790550000000000352e+01 2.314590000000000050e-03 5.967890000000000139e-01 1.545279999999999987e-01 6.975670000000000481e-02
6.502860000000000307e-01 2.418639999999999957e-01 7.882630000000000109e+03 7.453720000000000345e-01 2.180470000000000041e+01 3.148080000000000149e-03 6.285849999999999493e-01 1.767120000000000080e-01 9.062599999999999822e-02
6.539690000000000225e-01 2.503889999999999727e-01 7.884239999999999782e+03 1.133890000000000065e+00 1.285660000000000025e+01 2.492149999999999834e-03 6.307660000000000489e-01 1.677740000000000065e-01 8.229789999999999328e-02
7.995160000000000045e-01 2.283199999999999952e-01 7.884510000000000218e+03 1.905999999999999917e-01 3.965670000000000073e+01 2.325789999999999889e-03 6.137160000000000393e-01 2.065369999999999984e-01 1.008789999999999965e-01
7.501799999999999580e-01 2.358470000000000011e-01 7.884829999999999927e+03 2.685029999999999917e-01 2.998849999999999838e+01 3.108720000000000146e-03 6.318369999999999820e-01 1.984839999999999938e-01 9.972159999999999358e-02
7.700709999999999500e-01 2.449199999999999988e-01 7.884090000000000146e+03 4.444429999999999908e-02 1.461469999999999914e+02 1.729309999999999875e-02 4.835079999999999933e-01 1.926460000000000117e-01 8.723369999999999735e-02
7.128670000000000284e-01 2.293699999999999906e-01 7.883659999999999854e+03 3.730060000000000042e-01 2.897850000000000037e+01 1.902980000000000079e-03 4.853410000000000224e-01 2.248120000000000118e-01 1.032659999999999967e-01
8.608569999999999833e-01 2.382450000000000123e-01 7.884260000000000218e+03 1.810819999999999930e-01 3.800789999999999935e+01 1.338830000000000021e-05 3.964719999999999911e-01 2.113639999999999963e-01 1.027610000000000051e-01
8.435529999999999973e-01 2.217590000000000117e-01 7.884739999999999782e+03 2.937359999999999971e-01 2.865549999999999997e+01 7.179080000000000010e-03 5.380509999999999460e-01 2.031060000000000088e-01 1.217720000000000052e-01
7.413349999999999662e-01 2.156589999999999896e-01 7.884140000000000327e+03 2.499889999999999890e-01 3.868189999999999884e+01 2.124890000000000112e-02 6.626429999999999820e-01 2.250939999999999885e-01 1.056440000000000018e-01
7.166529999999999845e-01 2.566890000000000005e-01 7.884720000000000255e+03 3.229199999999999848e-01 2.887310000000000088e+01 1.124999999999999958e-02 3.847369999999999957e-01 2.054070000000000062e-01 8.622559999999999947e-02
9.380709999999999882e-01 2.354870000000000019e-01 7.884779999999999745e+03 1.221000000000000002e-01 4.597939999999999827e+01 1.052839999999999982e-03 5.357709999999999972e-01 2.067569999999999963e-01 8.721399999999999986e-02
7.837499999999999467e-01 2.357009999999999939e-01 7.884239999999999782e+03 1.267379999999999896e-01 5.046280000000000143e+01 8.086760000000000129e-03 5.775010000000000421e-01 1.944639999999999980e-01 1.062619999999999953e-01
8.486569999999999947e-01 2.360879999999999923e-01 7.884020000000000437e+03 2.501229999999999842e-01 3.107890000000000086e+01 4.013929999999999755e-03 5.589190000000000547e-01 1.993959999999999899e-01 1.020689999999999931e-01
6.490209999999999591e-01 2.270079999999999876e-01 7.882119999999999891e+03 4.050699999999999856e-01 3.572570000000000334e+01 2.670919999999999891e-02 5.922760000000000247e-01 2.092920000000000058e-01 1.013270000000000004e-01
8.125000000000000000e-01 1.892230000000000023e-01 7.885090000000000146e+03 6.621920000000000028e-01 1.819409999999999883e+01 6.607059999999999669e-03 4.404120000000000257e-01 2.464200000000000002e-01 9.498230000000000561e-02
8.620940000000000270e-01 2.227600000000000136e-01 7.884140000000000327e+03 1.718629999999999880e-01 4.234790000000000276e+01 1.503729999999999997e-03 6.486499999999999488e-01 2.020470000000000044e-01 9.523080000000000434e-02
6.751660000000000439e-01 2.214369999999999949e-01 7.882539999999999964e+03 2.479609999999999870e-01 4.954879999999999995e+01 5.577699999999999672e-03 5.598539999999999628e-01 2.240699999999999914e-01 9.514910000000000034e-02
7.507770000000000277e-01 2.241900000000000004e-01 7.883949999999999818e+03 3.189520000000000133e-01 2.871239999999999881e+01 1.652079999999999868e-02 5.880990000000000384e-01 1.983679999999999888e-01 9.682860000000000078e-02
7.392300000000000537e-01 2.352619999999999989e-01 7.882729999999999563e+03 6.400099999999999678e-01 2.019290000000000163e+01 5.462780000000000413e-03 5.878379999999999717e-01 2.108440000000000036e-01 1.050539999999999946e-01
7.163990000000000080e-01 2.476240000000000108e-01 7.884109999999999673e+03 1.955260000000000054e-01 4.066230000000000189e+01 7.945590000000000638e-03 5.963169999999999860e-01 1.579500000000000071e-01 7.843429999999999847e-02
6.754240000000000244e-01 2.529649999999999954e-01 7.884100000000000364e+03 6.756269999999999776e-01 1.840429999999999922e+01 2.855879999999999877e-03 4.691239999999999855e-01 2.112310000000000021e-01 8.638060000000000183e-02
7.847800000000000331e-01 2.293610000000000093e-01 7.885159999999999854e+03 2.220789999999999986e-01 3.747050000000000125e+01 4.246950000000000204e-03 4.859470000000000178e-01 2.247609999999999886e-01 1.106449999999999934e-01
5.793890000000000429e-01 2.497489999999999988e-01 7.882289999999999964e+03 1.039490000000000025e+00 1.631340000000000146e+01 1.577889999999999848e-02 5.400829999999999798e-01 1.643280000000000018e-01 8.050670000000000048e-02
6.953340000000000076e-01 2.092169999999999863e-01 7.883710000000000036e+03 2.266050000000000009e-01 4.745889999999999986e+01 9.383590000000000464e-04 4.874220000000000219e-01 2.313089999999999868e-01 1.090570000000000012e-01
6.689439999999999831e-01 2.172509999999999997e-01 7.881250000000000000e+03 6.899849999999999595e-01 2.191529999999999845e+01 2.768229999999999996e-03 5.117439999999999767e-01 2.334529999999999939e-01 1.046649999999999942e-01
8.280760000000000343e-01 2.202629999999999866e-01 7.884380000000000109e+03 1.896130000000000038e-01 4.172780000000000200e+01 1.384170000000000018e-02 7.550270000000000037e-01 1.952800000000000091e-01 1.236440000000000039e-01
8.129060000000000175e-01 2.407690000000000108e-01 7.884800000000000182e+03 4.536250000000000004e-01 1.997939999999999827e+01 7.109469999999999679e-03 5.909370000000000456e-01 2.078979999999999995e-01 1.039209999999999995e-01
7.858230000000000492e-01 2.199889999999999901e-01 7.882869999999999891e+03 1.985010000000000108e-01 4.285909999999999798e+01 4.055000000000000271e-02 5.600469999999999615e-01 2.112259999999999971e-01 1.027170000000000027e-01
7.730019999999999669e-01 2.349320000000000019e-01 7.883399999999999636e+03 3.076380000000000225e-01 3.096590000000000131e+01 1.425399999999999931e-02 6.580380000000000118e-01 2.022690000000000043e-01 9.578639999999999377e-02
9.664139999999999953e-01 2.170930000000000082e-01 7.885279999999999745e+03 1.282099999999999906e-01 4.665720000000000312e+01 2.409769999999999968e-02 6.445300000000000473e-01 1.851679999999999993e-01 9.493350000000000399e-02
6.927609999999999602e-01 2.407110000000000083e-01 7.885090000000000146e+03 8.568890000000000118e-01 1.796880000000000166e+01 2.037220000000000003e-02 6.001929999999999765e-01 2.027029999999999943e-01 9.256630000000000413e-02
6.695130000000000248e-01 2.340879999999999905e-01 7.882510000000000218e+03 1.215589999999999948e+00 1.585069999999999979e+01 3.448380000000000022e-03 4.452349999999999919e-01 2.211450000000000082e-01 9.248599999999999877e-02
5.783629999999999605e-01 2.700239999999999863e-01 7.883079999999999927e+03 1.295169999999999932e+00 1.202430000000000021e+01 1.106389999999999978e-02 4.845369999999999955e-01 1.830380000000000063e-01 8.138479999999999326e-02
7.237599999999999589e-01 2.192300000000000082e-01 7.884720000000000255e+03 9.577339999999999742e-01 1.431310000000000038e+01 8.435379999999999268e-03 5.034729999999999484e-01 2.117880000000000040e-01 9.912459999999999327e-02
7.416139999999999954e-01 2.499500000000000055e-01 7.884229999999999563e+03 9.572029999999999428e-02 6.912949999999999307e+01 3.121919999999999817e-03 5.351280000000000481e-01 1.708220000000000016e-01 9.947540000000000548e-02
7.064390000000000391e-01 2.226339999999999986e-01 7.884380000000000109e+03 5.041839999999999655e-01 2.726320000000000121e+01 1.120670000000000043e-03 3.120280000000000276e-01 2.094570000000000043e-01 9.113720000000000154e-02
7.086029999999999829e-01 2.132410000000000139e-01 7.883439999999999600e+03 3.799199999999999799e-01 2.899419999999999931e+01 1.903060000000000168e-02 5.624050000000000438e-01 2.279470000000000107e-01 1.134270000000000000e-01
8.170589999999999797e-01 2.165459999999999885e-01 7.884329999999999927e+03 4.379730000000000012e-01 2.518860000000000099e+01 4.126150000000000304e-03 5.350939999999999586e-01 2.200229999999999964e-01 9.676079999999999404e-02
7.662679999999999492e-01 2.405229999999999868e-01 7.884630000000000109e+03 2.433130000000000015e-01 3.490500000000000114e+01 9.312539999999999360e-03 5.209019999999999762e-01 1.881259999999999877e-01 9.225740000000000329e-02
6.785900000000000265e-01 2.233559999999999990e-01 7.882869999999999891e+03 7.699359999999999538e-01 2.150819999999999865e+01 7.513539999999999976e-03 6.012849999999999584e-01 2.111089999999999911e-01 1.133070000000000049e-01
6.619620000000000504e-01 2.653710000000000235e-01 7.882729999999999563e+03 7.264429999999999499e-01 1.890370000000000061e+01 6.270760000000000223e-03 3.595079999999999942e-01 1.977649999999999963e-01 9.677829999999999766e-02
6.773080000000000211e-01 2.423849999999999894e-01 7.883050000000000182e+03 2.941799999999999971e-01 3.112219999999999942e+01 1.204690000000000014e-03 4.978750000000000120e-01 1.935769999999999991e-01 9.065289999999999460e-02
6.674229999999999885e-01 2.382720000000000116e-01 7.882729999999999563e+03 2.506320000000000214e-01 4.119440000000000168e+01 1.648989999999999918e-03 4.632549999999999724e-01 2.090889999999999971e-01 1.030650000000000038e-01
5.856940000000000479e-01 2.361020000000000063e-01 7.881840000000000146e+03 3.582969999999999766e-01 4.034300000000000352e+01 3.309109999999999829e-02 4.698140000000000094e-01 1.948479999999999934e-01 9.979749999999999732e-02
7.558089999999999531e-01 2.228769999999999918e-01 7.883869999999999891e+03 2.083319999999999894e-01 4.033140000000000214e+01 4.935819999999999617e-03 4.707830000000000070e-01 2.164760000000000018e-01 1.047720000000000040e-01
5.908349999999999991e-01 2.463470000000000104e-01 7.878399999999999636e+03 1.066179999999999906e+00 2.020880000000000010e+01 8.198030000000000247e-03 4.889220000000000232e-01 1.812239999999999962e-01 8.840280000000000360e-02
8.752480000000000260e-01 2.240010000000000057e-01 7.884430000000000291e+03 7.152279999999999749e-02 8.919939999999999714e+01 5.927810000000000154e-04 5.037310000000000398e-01 2.040820000000000134e-01 1.053850000000000064e-01
7.533560000000000256e-01 2.437690000000000135e-01 7.884109999999999673e+03 4.298190000000000066e-01 2.283650000000000091e+01 5.637549999999999853e-03 4.273719999999999741e-01 2.069209999999999938e-01 1.209360000000000018e-01
7.537019999999999831e-01 2.184270000000000100e-01 7.884079999999999927e+03 1.089199999999999946e+00 1.548780000000000001e+01 1.586720000000000014e-03 5.027279999999999527e-01 2.239069999999999949e-01 1.014670000000000016e-01
7.812419999999999920e-01 2.430980000000000085e-01 7.884680000000000291e+03 2.054269999999999985e-01 3.882330000000000325e+01 1.461359999999999916e-02 6.736520000000000286e-01 1.957770000000000066e-01 1.028410000000000019e-01
6.904749999999999499e-01 2.162709999999999910e-01 7.883189999999999600e+03 7.682820000000000205e-01 2.071519999999999939e+01 6.213259999999999963e-03 5.994289999999999896e-01 2.098959999999999992e-01 1.101239999999999997e-01
6.516699999999999715e-01 2.400909999999999989e-01 7.884289999999999964e+03 6.456579999999999542e-01 2.047500000000000142e+01 7.894749999999999858e-04 5.237049999999999761e-01 1.778409999999999991e-01 8.602110000000000312e-02
6.986189999999999900e-01 2.673800000000000066e-01 7.883840000000000146e+03 3.231109999999999816e-01 2.889560000000000173e+01 1.139519999999999943e-02 4.827029999999999932e-01 1.711689999999999878e-01 8.078530000000000433e-02
7.061180000000000234e-01 2.272889999999999910e-01 7.883989999999999782e+03 2.023679999999999923e-01 5.074569999999999936e+01 8.224429999999999588e-03 4.212040000000000228e-01 2.090249999999999886e-01 9.125419999999999365e-02
6.629270000000000440e-01 2.322440000000000060e-01 7.884430000000000291e+03 1.142919999999999936e+00 1.409759999999999991e+01 1.254150000000000100e-03 4.727910000000000168e-01 2.063240000000000074e-01 1.289559999999999873e-01
6.516699999999999715e-01 2.400909999999999989e-01 7.884289999999999964e+03 6.456579999999999542e-01 2.047500000000000142e+01 7.894749999999999858e-04 5.237049999999999761e-01 1.778409999999999991e-01 8.602110000000000312e-02
7.017409999999999481e-01 2.246199999999999863e-01 7.883930000000000291e+03 1.114610000000000101e+00 1.327769999999999939e+01 8.971800000000000261e-03 4.292389999999999817e-01 2.188710000000000100e-01 8.404000000000000359e-02
8.403190000000000381e-01 2.539199999999999791e-01 7.885489999999999782e+03 1.011959999999999943e-01 6.030700000000000216e+01 1.600120000000000015e-02 4.551470000000000238e-01 1.934839999999999893e-01 8.823069999999999524e-02
7.801430000000000309e-01 2.208759999999999890e-01 7.885270000000000437e+03 7.855469999999999953e-01 1.548479999999999990e+01 5.757390000000000251e-03 6.757880000000000553e-01 1.975560000000000094e-01 1.102989999999999943e-01
6.600890000000000368e-01 2.165690000000000115e-01 7.882539999999999964e+03 1.233500000000000041e+00 1.728239999999999910e+01 1.306009999999999983e-02 5.224969999999999892e-01 2.217889999999999862e-01 1.026470000000000021e-01
6.044019999999999948e-01 2.330240000000000089e-01 7.883220000000000255e+03 5.454390000000000072e-01 2.828020000000000067e+01 6.505730000000000367e-03 5.149479999999999613e-01 2.218209999999999904e-01 1.052609999999999935e-01
6.769910000000000094e-01 2.367100000000000037e-01 7.883539999999999964e+03 5.304489999999999900e-02 1.416279999999999859e+02 7.173520000000000070e-03 4.333040000000000225e-01 1.966110000000000080e-01 9.682419999999999916e-02
7.287879999999999914e-01 2.238279999999999992e-01 7.884369999999999891e+03 6.656140000000000390e-01 1.825959999999999894e+01 7.217379999999999803e-04 3.995609999999999995e-01 2.315210000000000046e-01 9.424480000000000357e-02
6.720199999999999507e-01 2.550589999999999802e-01 7.883029999999999745e+03 2.649699999999999833e-01 3.435229999999999961e+01 2.377699999999999952e-02 5.144480000000000164e-01 1.970840000000000092e-01 9.785140000000000504e-02
7.026940000000000408e-01 2.424340000000000106e-01 7.884340000000000146e+03 3.471690000000000054e-01 2.789750000000000085e+01 4.212500000000000207e-04 6.480249999999999622e-01 1.901220000000000132e-01 7.893909999999999816e-02
7.224279999999999591e-01 1.970419999999999949e-01 7.885979999999999563e+03 1.409310000000000063e+00 1.425839999999999996e+01 1.708490000000000009e-02 5.217260000000000231e-01 2.218479999999999897e-01 1.007419999999999982e-01
6.437060000000000004e-01 2.553210000000000202e-01 7.884239999999999782e+03 1.771550000000000069e-01 4.472310000000000230e+01 1.394660000000000040e-03 5.289490000000000025e-01 1.901740000000000097e-01 7.477509999999999712e-02
6.953340000000000076e-01 2.092169999999999863e-01 7.883710000000000036e+03 2.266050000000000009e-01 4.745889999999999986e+01 9.383590000000000464e-04 4.874220000000000219e-01 2.313089999999999868e-01 1.090570000000000012e-01
6.674449999999999550e-01 2.426020000000000121e-01 7.881529999999999745e+03 1.164949999999999930e+00 1.499220000000000041e+01 7.453750000000000306e-03 4.617530000000000245e-01 1.972859999999999892e-01 9.157379999999999687e-02
7.413349999999999662e-01 2.156589999999999896e-01 7.884140000000000327e+03 2.499889999999999890e-01 3.868189999999999884e+01 2.124890000000000112e-02 6.626429999999999820e-01 2.250939999999999885e-01 1.056440000000000018e-01
7.254190000000000360e-01 2.395249999999999879e-01 7.882020000000000437e+03 1.222519999999999996e-01 6.811639999999999873e+01 9.781389999999999182e-03 4.621850000000000125e-01 1.845320000000000016e-01 1.071479999999999932e-01
6.626140000000000363e-01 2.149590000000000112e-01 7.883460000000000036e+03 1.260289999999999910e+00 1.364129999999999932e+01 3.273990000000000060e-03 6.339320000000000510e-01 2.379400000000000126e-01 1.238240000000000035e-01
7.161039999999999628e-01 2.381520000000000026e-01 7.883579999999999927e+03 1.165130000000000055e-01 6.106819999999999737e+01 1.313600000000000011e-02 4.021500000000000075e-01 1.978389999999999871e-01 9.398479999999999335e-02
7.572529999999999539e-01 2.172099999999999864e-01 7.882949999999999818e+03 6.457789999999999919e-01 2.301640000000000086e+01 1.079809999999999971e-02 5.552920000000000078e-01 2.266309999999999991e-01 1.118129999999999957e-01
6.470890000000000253e-01 2.145080000000000042e-01 7.882850000000000364e+03 5.594930000000000181e-01 2.659339999999999904e+01 5.596349999999999936e-03 5.499749999999999917e-01 2.313189999999999968e-01 8.929370000000000362e-02
7.878340000000000343e-01 2.011179999999999912e-01 7.883779999999999745e+03 2.231329999999999980e-01 4.269579999999999842e+01 1.487980000000000075e-03 4.992860000000000076e-01 2.360720000000000041e-01 9.477900000000000214e-02
7.181469999999999798e-01 2.489069999999999894e-01 7.884890000000000327e+03 3.416830000000000145e-01 2.972650000000000148e+01 1.216670000000000078e-02 5.166920000000000401e-01 1.864889999999999881e-01 1.054770000000000013e-01
7.108600000000000474e-01 2.406169999999999976e-01 7.883609999999999673e+03 2.470700000000000118e-01 3.915420000000000300e+01 9.971060000000000340e-03 4.458989999999999898e-01 2.037940000000000029e-01 1.082980000000000054e-01
6.187669999999999559e-01 2.643260000000000054e-01 7.883239999999999782e+03 5.037000000000000366e-01 2.603549999999999898e+01 5.475149999999999809e-03 4.792000000000000148e-01 1.926249999999999907e-01 7.388469999999999760e-02
7.485370000000000079e-01 2.067680000000000073e-01 7.883909999999999854e+03 6.397819999999999618e-01 2.177260000000000062e+01 7.774500000000000161e-03 4.153740000000000210e-01 2.218430000000000124e-01 1.048120000000000024e-01
6.584149999999999725e-01 2.137680000000000136e-01 7.882430000000000291e+03 1.036180000000000101e+00 1.670240000000000080e+01 2.749530000000000030e-02 5.970769999999999689e-01 2.087509999999999921e-01 9.586020000000000651e-02
6.568730000000000402e-01 2.250830000000000053e-01 7.883420000000000073e+03 2.548039999999999750e-01 4.275289999999999679e+01 1.386809999999999952e-02 4.532889999999999975e-01 2.026940000000000131e-01 9.579070000000000640e-02
8.135700000000000154e-01 2.504950000000000232e-01 7.884279999999999745e+03 2.286189999999999889e-01 3.388600000000000279e+01 2.527499999999999886e-02 4.251750000000000251e-01 2.150819999999999954e-01 1.022720000000000018e-01
7.571059999999999457e-01 2.328689999999999927e-01 7.884909999999999854e+03 4.006959999999999966e-01 2.411929999999999907e+01 2.540399999999999950e-02 5.761490000000000222e-01 2.078500000000000070e-01 1.047339999999999938e-01
6.690500000000000336e-01 2.456409999999999982e-01 7.884479999999999563e+03 8.698160000000000336e-01 1.603069999999999951e+01 8.567289999999999975e-03 4.034190000000000276e-01 2.006850000000000023e-01 8.382749999999999924e-02
7.413689999999999447e-01 2.505479999999999929e-01 7.883869999999999891e+03 4.223350000000000160e-01 2.533200000000000074e+01 7.049929999999999771e-05 4.883250000000000091e-01 1.961749999999999883e-01 8.136500000000000676e-02
9.136130000000000084e-01 2.239150000000000029e-01 7.884710000000000036e+03 8.493299999999999461e-02 7.246450000000000102e+01 7.202909999999999868e-03 6.030539999999999790e-01 2.005780000000000063e-01 1.220060000000000033e-01
7.684609999999999497e-01 2.151190000000000047e-01 7.885050000000000182e+03 6.126890000000000391e-01 2.088550000000000040e+01 6.759760000000000074e-03 7.321969999999999867e-01 2.225530000000000008e-01 1.169339999999999963e-01
7.165179999999999882e-01 2.383859999999999868e-01 7.884560000000000400e+03 2.177439999999999931e-01 3.940409999999999968e+01 1.804019999999999929e-03 5.957080000000000153e-01 2.187679999999999902e-01 9.271079999999999599e-02
6.694309999999999983e-01 2.406419999999999948e-01 7.884300000000000182e+03 2.582579999999999876e-01 3.994870000000000232e+01 5.509609999999999855e-03 4.423019999999999730e-01 2.100839999999999930e-01 9.881410000000000193e-02
6.264239999999999808e-01 2.261140000000000094e-01 7.883710000000000036e+03 9.990660000000000096e-01 2.008770000000000167e+01 4.157040000000000041e-02 6.656379999999999519e-01 2.112890000000000046e-01 1.081749999999999934e-01
7.675130000000000008e-01 2.044829999999999981e-01 7.883569999999999709e+03 2.936250000000000249e-01 3.196079999999999899e+01 2.348470000000000071e-02 4.485100000000000198e-01 2.318520000000000025e-01 1.127849999999999964e-01
7.103880000000000194e-01 2.386129999999999918e-01 7.883670000000000073e+03 2.349140000000000117e-01 4.795199999999999818e+01 2.268399999999999930e-02 5.758680000000000465e-01 2.033500000000000030e-01 9.278509999999999536e-02
7.274850000000000483e-01 2.637590000000000212e-01 7.883149999999999636e+03 1.121530000000000027e-01 6.329740000000000322e+01 1.397280000000000050e-02 4.980570000000000275e-01 1.905890000000000084e-01 8.179029999999999634e-02
6.651350000000000318e-01 2.229710000000000025e-01 7.882630000000000109e+03 5.396579999999999711e-01 2.671819999999999951e+01 3.520329999999999900e-03 5.073429999999999884e-01 2.392970000000000097e-01 1.220099999999999935e-01
7.417380000000000084e-01 2.360029999999999906e-01 7.884560000000000400e+03 3.203509999999999969e-01 2.995459999999999923e+01 1.220309999999999971e-02 5.354079999999999950e-01 2.141059999999999908e-01 1.010370000000000018e-01
6.670390000000000486e-01 2.126699999999999979e-01 7.882289999999999964e+03 1.322249999999999925e+00 1.698359999999999914e+01 1.627639999999999990e-02 4.447280000000000122e-01 2.178009999999999946e-01 1.041569999999999996e-01
7.216529999999999889e-01 2.588139999999999885e-01 7.884039999999999964e+03 5.833650000000000224e-01 2.042930000000000135e+01 4.335760000000000135e-03 5.014640000000000208e-01 1.961859999999999993e-01 8.702949999999999575e-02
7.878340000000000343e-01 2.011179999999999912e-01 7.883779999999999745e+03 2.231329999999999980e-01 4.269579999999999842e+01 1.487980000000000075e-03 4.992860000000000076e-01 2.360720000000000041e-01 9.477900000000000214e-02
6.252550000000000052e-01 2.279079999999999995e-01 7.884380000000000109e+03 1.077299999999999924e+00 1.532380000000000031e+01 8.064419999999999878e-04 5.524360000000000381e-01 1.955979999999999941e-01 1.139089999999999964e-01
6.580019999999999758e-01 2.237760000000000027e-01 7.883909999999999854e+03 9.362049999999999539e-01 1.761560000000000059e+01 3.748749999999999999e-02 6.744449999999999612e-01 1.940969999999999918e-01 1.023799999999999988e-01
8.305770000000000097e-01 2.609029999999999960e-01 7.884630000000000109e+03 8.834699999999999498e-02 6.004410000000000025e+01 1.268539999999999945e-02 3.510179999999999967e-01 2.079540000000000000e-01 8.087370000000000669e-02
7.567319999999999602e-01 2.352599999999999969e-01 7.883920000000000073e+03 4.293489999999999807e-01 2.486939999999999884e+01 2.232309999999999937e-03 5.711509999999999643e-01 2.050770000000000093e-01 1.021640000000000048e-01
6.476319999999999855e-01 2.610750000000000015e-01 7.882569999999999709e+03 1.262590000000000101e+00 1.355189999999999984e+01 5.830459999999999739e-05 3.926000000000000045e-01 1.955909999999999871e-01 8.211340000000000305e-02
7.937469999999999803e-01 2.330109999999999959e-01 7.884170000000000073e+03 1.482900000000000051e-01 5.019100000000000250e+01 1.203929999999999931e-02 3.465289999999999759e-01 2.275020000000000098e-01 1.090290000000000009e-01
7.635159999999999725e-01 2.598500000000000254e-01 7.884119999999999891e+03 1.329889999999999961e-01 5.811319999999999908e+01 2.644049999999999786e-03 4.830800000000000094e-01 1.795819999999999916e-01 9.545670000000000543e-02
6.960239999999999760e-01 2.899129999999999763e-01 7.883850000000000364e+03 5.256210000000000049e-01 2.001709999999999923e+01 3.765129999999999866e-02 3.025070000000000259e-01 2.054400000000000115e-01 9.422990000000000532e-02
6.338730000000000198e-01 2.121399999999999952e-01 7.876439999999999600e+03 5.668239999999999945e-01 3.599600000000000222e+01 6.624490000000000239e-03 4.713539999999999952e-01 2.020699999999999996e-01 1.069449999999999984e-01
